Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,100,India,5142,Food,2905,Cereals - Excluding Beer,2017,2017,1000 tonnes,247068,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2014,2014,kg,178.26,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2015,2015,kg,176.88,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2016,2016,kg,182.69,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2017,2017,kg,184.56,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2905,Cereals - Excluding Beer,2014,2014,kcal/capita/day,1364,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2905,Cereals - Excluding Beer,2015,2015,kcal/capita/day,1368,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2905,Cereals - Excluding Beer,2016,2016,kcal/capita/day,1388,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2905,Cereals - Excluding Beer,2017,2017,kcal/capita/day,1392,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2014,2014,g/capita/day,32.37,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2015,2015,g/capita/day,32.41,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2016,2016,g/capita/day,32.82,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2017,2017,g/capita/day,33.03,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2014,2014,g/capita/day,5.72,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2015,2015,g/capita/day,5.73,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2016,2016,g/capita/day,5.77,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2905,Cereals - Excluding Beer,2017,2017,g/capita/day,5.82,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2907,Starchy Roots,2014,2014,1000 tonnes,39984,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2907,Starchy Roots,2015,2015,1000 tonnes,37581,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2907,Starchy Roots,2016,2016,1000 tonnes,37229,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2907,Starchy Roots,2017,2017,1000 tonnes,39662,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2014,2014,kg,30.86,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2015,2015,kg,28.68,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2016,2016,kg,28.11,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2017,2017,kg,29.63,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2907,Starchy Roots,2014,2014,kcal/capita/day,60,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2907,Starchy Roots,2015,2015,kcal/capita/day,55,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2907,Starchy Roots,2016,2016,kcal/capita/day,54,Fc,Calculated data
FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2907,Starchy Roots,2017,2017,kcal/capita/day,56,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2907,Starchy Roots,2014,2014,g/capita/day,1.14,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2907,Starchy Roots,2015,2015,g/capita/day,1.13,Fc,Calculated data
