Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","100","India","5511","Production","2918","Vegetables","2017","2017","1000 tonnes","128613","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2919","Fruits - Excluding Wine","2014","2014","1000 tonnes","88480","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2919","Fruits - Excluding Wine","2015","2015","1000 tonnes","87484","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2919","Fruits - Excluding Wine","2016","2016","1000 tonnes","88473","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2919","Fruits - Excluding Wine","2017","2017","1000 tonnes","90840","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2922","Stimulants","2014","2014","1000 tonnes","1532","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2922","Stimulants","2015","2015","1000 tonnes","1581","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2922","Stimulants","2016","2016","1000 tonnes","1622","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2922","Stimulants","2017","2017","1000 tonnes","1663","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2923","Spices","2014","2014","1000 tonnes","4307","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2923","Spices","2015","2015","1000 tonnes","4290","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2923","Spices","2016","2016","1000 tonnes","4882","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2923","Spices","2017","2017","1000 tonnes","5866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2924","Alcoholic Beverages","2014","2014","1000 tonnes","6025","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2924","Alcoholic Beverages","2015","2015","1000 tonnes","7478","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2924","Alcoholic Beverages","2016","2016","1000 tonnes","5952","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2924","Alcoholic Beverages","2017","2017","1000 tonnes","5525","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2943","Meat","2014","2014","1000 tonnes","7045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2943","Meat","2015","2015","1000 tonnes","7129","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2943","Meat","2016","2016","1000 tonnes","7252","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2943","Meat","2017","2017","1000 tonnes","7358","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2945","Offals","2014","2014","1000 tonnes","530","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2945","Offals","2015","2015","1000 tonnes","520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2945","Offals","2016","2016","1000 tonnes","521","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2945","Offals","2017","2017","1000 tonnes","519","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2946","Animal fats","2014","2014","1000 tonnes","241","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2946","Animal fats","2015","2015","1000 tonnes","227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2946","Animal fats","2016","2016","1000 tonnes","228","A","Aggregate, may include official, semi-official, estimated or calculated data"
